原始序号,模型名称,一级分类,二级分类,model_type,architecture,target_stem,config_instruments,config_target_instrument,大小MiB,支持状态,推荐标签,业务场景,能力,备注,分类依据
1,Apollo_LQ_MP3_restoration.ckpt,音频清理/修复,音频/人声修复,apollo,apollo,restored,,,63.5,supported,精选,restoration,restoration（音频修复）,推荐依据：音频修复模型；适合低质 MP3 高频细节补全。,LQ/MP3/restoration 名称
2,apollo_model.ckpt,音频清理/修复,音频/人声修复,apollo,apollo,restored_vocal,restored|addition,restored,63.4,supported,精选,restoration,restoration（音频修复）,推荐依据：音频修复模型；适合破音、压缩损伤、低质素材修复。,config restored/addition + vocal/apollo; classified as audio restoration
3,apollo_model_v2.ckpt,音频清理/修复,音频/人声修复,apollo,apollo,restored_vocal,restored|addition,restored,36.4,supported,精选,restoration,restoration（音频修复）,推荐依据：频段重建模型；适合压缩损伤和低质素材修复。,config restored/addition + vocal/apollo; classified as audio restoration
4,epoch=54-val_loss=-17.6221.ckpt,音频清理/修复,音频/人声修复,apollo,apollo,restored_vocal,restored|addition,restored,587.3,supported,精选,restoration,restoration（音频修复）,推荐依据：音频修复模型；适合破音、压缩损伤、低质素材修复。,config restored/addition + vocal/apollo; classified as audio restoration
5,model_apollo_vocals_ep_54.ckpt,音频清理/修复,音频/人声修复,apollo,apollo,restored_vocal,restored|addition,restored,185.3,supported,精选,restoration,restoration（音频修复）,推荐依据：音频修复模型；适合破音、压缩损伤、低质素材修复。,config restored/addition + vocal/apollo; classified as audio restoration
6,mel_band_roformer_crowd_aufr33_viperx_sdr_8.7144.ckpt,音频清理/修复,人群/观众声移除,mel_band_roformer,mel_band_roformer,crowd,crowd|other,crowd,870.8,supported,首选,denoise|restoration,denoise（去人群声）,推荐依据：去人群声模型；适合演唱会欢呼掌声抑制。,crowd 名称
7,denoise_mel_band_roformer_aufr33_aggr_sdr_27.9768.ckpt,音频清理/修复,降噪/串音抑制,mel_band_roformer,mel_band_roformer,noise,dry|other,dry,870.8,supported,首选,denoise|restoration,denoise（降噪）,推荐依据：强降噪版本；适合噪声更重的素材。,denoise 名称
8,denoise_mel_band_roformer_aufr33_sdr_27.9959.ckpt,音频清理/修复,降噪/串音抑制,mel_band_roformer,mel_band_roformer,noise,dry|other,dry,870.8,supported,首选,denoise|restoration,denoise（降噪）,推荐依据：降噪专用模型；适合噪声、人群声、底噪处理。,denoise 名称
9,huge_scnet_4stems_bleedless.ckpt,音频清理/修复,降噪/串音抑制,scnet,scnet,bleed,,,377.3,supported,精选,denoise|restoration|four_stem,4 stems（四分轨）,推荐依据：SCNet 防串音四分轨；适合减少鼓、贝斯、人声互漏。,bleed/debleed/bleedless 名称
10,kimmel_unwa_ft2_bleedless.ckpt,音频清理/修复,降噪/串音抑制,mel_band_roformer,mel_band_roformer,bleed,vocals|other,vocals,870.8,supported,首选,vocal|denoise|restoration,denoise（降噪）,推荐依据：降噪专用模型；适合噪声、人群声、底噪处理。,bleed/debleed/bleedless 名称
